stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_1_101,,"Młynka Pętla","",50.112008,19.692372,,,0,,,
stop_3_501,,"UR Balicka","",50.080952,19.865075,,,0,,,
stop_3_502,,"UR Balicka","",50.080863,19.865546,,,0,,,
stop_4_701,,"Zakliki (nż)","",50.083078,19.849841,,,0,,,
stop_7_1201,,"Rondo Ofiar Katynia","",50.087347,19.892792,,,0,,,
stop_7_1202,,"Rondo Ofiar Katynia","",50.087661,19.890808,,,0,,,
stop_7_1203,,"Rondo Ofiar Katynia","",50.086602,19.891035,,,0,,,
stop_7_1204,,"Rondo Ofiar Katynia","",50.088154,19.892325,,,0,,,
stop_8_1301,,"Katowicka","",50.089738,19.883723,,,0,,,
stop_8_1302,,"Katowicka","",50.090708,19.882169,,,0,,,
stop_10_1501,,"Pasternik (nż)","",50.097556,19.868958,,,0,,,
stop_10_1502,,"Pasternik (nż)","",50.09867,19.868155,,,0,,,
stop_11_1601,,"Ojcowska Dworek","",50.094431,19.882345,,,0,,,
stop_11_1602,,"Ojcowska Dworek","",50.094222,19.882509,,,0,,,
stop_12_1701,,"Ojcowska Wągroda","",50.097125,19.883196,,,0,,,
stop_12_1702,,"Ojcowska Wągroda","",50.097816,19.883439,,,0,,,
stop_13_1801,,"Ojcowska","",50.100776,19.884064,,,0,,,
stop_13_1802,,"Ojcowska","",50.100971,19.884267,,,0,,,
stop_14_1901,,"Bronowice Wielkie","",50.105211,19.880879,,,0,,,
stop_14_1902,,"Bronowice Wielkie","",50.106029,19.88012,,,0,,,
stop_15_2101,,"Tonie","",50.10989,19.88661,,,0,,,
stop_15_2102,,"Tonie","",50.10989,19.88661,,,0,,,
stop_16_2201,,"Gospodarska","",50.108335,19.902602,,,0,,,
stop_16_2202,,"Gospodarska","",50.107791,19.903122,,,0,,,
stop_17_2301,,"Tonie Skrzyżowanie","",50.11274,19.898463,,,0,,,
stop_17_2302,,"Tonie Skrzyżowanie","",50.112665,19.898364,,,0,,,
stop_18_2501,,"Tonie Kąty (nż)","",50.11586,19.9013,,,0,,,
stop_18_2503,,"Tonie Kąty (nż)","",50.116028,19.901812,,,0,,,
stop_18_2504,,"Tonie Kąty (nż)","",50.115714,19.901105,,,0,,,
stop_19_2801,,"Os. Marszowiec","",50.118902,19.941376,,,0,,,
stop_19_2802,,"Os. Marszowiec","",50.118369,19.94161,,,0,,,
stop_20_2901,,"Witkowice","",50.107402,19.942317,,,0,,,
stop_20_2902,,"Witkowice","",50.108749,19.943232,,,0,,,
stop_20_2903,,"Witkowice","",50.108494,19.943088,,,0,,,
stop_21_3001,,"Witkowice Nowe","",50.104941,19.944506,,,0,,,
stop_21_3002,,"Witkowice Nowe","",50.105388,19.944002,,,0,,,
stop_22_3101,,"Dożynkowa","",50.10243,19.946037,,,0,,,
stop_22_3102,,"Dożynkowa","",50.102596,19.945988,,,0,,,
stop_23_3201,,"Siewna","",50.098938,19.947394,,,0,,,
stop_23_3202,,"Siewna","",50.098944,19.947449,,,0,,,
stop_23_3273,,"Siewna","",50.09949,19.94768,,,0,,,
stop_24_3301,,"Siewna Wiadukt","",50.095946,19.94762,,,0,,,
stop_24_3302,,"Siewna Wiadukt","",50.095766,19.946467,,,0,,,
stop_24_3304,,"Siewna Wiadukt","",50.096404,19.947164,,,0,,,
stop_25_3401,,"Bociana","",50.093728,19.952143,,,0,,,
stop_25_3402,,"Bociana","",50.093236,19.953161,,,0,,,
stop_25_3404,,"Bociana","",50.09501,19.951595,,,0,,,
stop_26_3502,,"Górka Narodowa","",50.092893,19.956337,,,0,,,
